Variable,Statistic or Category,All Obesity - All,All Obesity - Alive,All Obesity - Death,All Obesity - P value,Class I Obesity - All,Class I Obesity - Alive,Class I Obesity - Death,Class I Obesity - P value,Class II Obesity - All,Class II Obesity - Alive,Class II Obesity - Death,Class II Obesity - P value,Class III Obesity - All,Class III Obesity - Alive,Class III Obesity - Death,Class III Obesity - P value
Age,Mean (SD),79.06 (8.20),77.01 (7.79),81.15 (8.09),<0.001W,80.23 (8.75),77.98 (8.23),82.50 (8.69),<0.001W,78.86 (7.57),77.85 (7.89),79.81 (7.21),0.180W,76.09 (6.54),73.54 (5.21),79.10 (6.73),<0.001W
,Median (Q1 to Q3),78.0 (72.0 to 86.0),75.0 (70.0 to 83.0),81.0 (75.0 to 88.0),,80.0 (73.0 to 87.0),77.0 (71.0 to 85.8),83.0 (76.0 to 89.0),,78.5 (72.0 to 84.0),77.0 (72.0 to 84.0),80.0 (74.0 to 86.0),,75.0 (71.0 to 80.0),73.0 (69.2 to 78.0),78.0 (74.0 to 84.5),
,Range,66.0 to 101.0,66.0 to 96.0,66.0 to 101.0,,66.0 to 101.0,66.0 to 96.0,66.0 to 101.0,,66.0 to 95.0,66.0 to 94.0,66.0 to 95.0,,66.0 to 91.0,66.0 to 84.0,67.0 to 91.0,
BMI,Mean (SD),36.13 (5.91),36.39 (6.17),35.87 (5.63),0.423W,32.15 (1.35),32.21 (1.34),32.09 (1.36),0.480W,37.09 (1.37),37.37 (1.44),36.83 (1.25),0.054W,45.90 (5.35),45.96 (5.94),45.84 (4.64),0.581W
,Median (Q1 to Q3),34.1 (31.8 to 38.3),34.0 (32.1 to 38.9),34.2 (31.6 to 37.9),,32.1 (31.0 to 33.2),32.2 (31.0 to 33.2),31.8 (30.9 to 33.2),,37.1 (35.9 to 38.1),37.3 (36.2 to 38.4),36.6 (35.7 to 37.9),,44.4 (41.9 to 49.2),43.4 (41.4 to 49.2),44.9 (42.4 to 48.9),
,Range,30.0 to 66.0,30.0 to 66.0,30.0 to 56.3,,30.0 to 35.0,30.0 to 34.9,30.0 to 35.0,,35.1 to 40.0,35.1 to 40.0,35.1 to 39.9,,40.0 to 66.0,40.0 to 66.0,40.1 to 56.3,
"Age Group, N (%)",65-74,149 (34.7%),96 (44.2%),53 (24.9%),<0.001C,72 (30.6%),48 (40.7%),24 (20.5%),0.002C,39 (35.5%),22 (41.5%),17 (29.8%),0.409C,38 (44.7%),26 (56.5%),12 (30.8%),<0.001C
,75-84,161 (37.4%),78 (35.9%),83 (39.0%),,80 (34.0%),38 (32.2%),42 (35.9%),,44 (40.0%),20 (37.7%),24 (42.1%),,37 (43.5%),20 (43.5%),17 (43.6%),
,>=85,120 (27.9%),43 (19.8%),77 (36.2%),,83 (35.3%),32 (27.1%),51 (43.6%),,27 (24.5%),11 (20.8%),16 (28.1%),,10 (11.8%),0 (0.0%),10 (25.6%),
"Gender, N (%)",Male,125 (29.1%),49 (22.6%),76 (35.7%),0.004C,75 (31.9%),29 (24.6%),46 (39.3%),0.022C,28 (25.5%),12 (22.6%),16 (28.1%),0.664C,22 (25.9%),8 (17.4%),14 (35.9%),0.091C
,Female,305 (70.9%),168 (77.4%),137 (64.3%),,160 (68.1%),89 (75.4%),71 (60.7%),,82 (74.5%),41 (77.4%),41 (71.9%),,63 (74.1%),38 (82.6%),25 (64.1%),
"Race, N (%)",White,325 (75.6%),156 (71.9%),169 (79.3%),0.395C,173 (73.6%),84 (71.2%),89 (76.1%),0.792C,88 (80.0%),40 (75.5%),48 (84.2%),0.106C,64 (75.3%),32 (69.6%),32 (82.1%),0.413C
,Hispanic,26 (6.0%),17 (7.8%),9 (4.2%),,17 (7.2%),10 (8.5%),7 (6.0%),,3 (2.7%),3 (5.7%),0 (0.0%),,6 (7.1%),4 (8.7%),2 (5.1%),
,Black,71 (16.5%),40 (18.4%),31 (14.6%),,39 (16.6%),20 (16.9%),19 (16.2%),,17 (15.5%),10 (18.9%),7 (12.3%),,15 (17.6%),10 (21.7%),5 (12.8%),
,"Asian, American Indian/Alaskan Native, Native Hawaiian/Pacific Islander",2 (0.5%),1 (0.5%),1 (0.5%),,2 (0.9%),1 (0.8%),1 (0.9%),,0 (0.0%),0 (0.0%),0 (0.0%),,0 (0.0%),0 (0.0%),0 (0.0%),
,Missing,6 (1.4%),3 (1.4%),3 (1.4%),,4 (1.7%),3 (2.5%),1 (0.9%),,2 (1.8%),0 (0.0%),2 (3.5%),,0 (0.0%),0 (0.0%),0 (0.0%),
"ADL Score, N (%)",0-12,117 (27.2%),72 (33.2%),45 (21.1%),0.015C,67 (28.5%),39 (33.1%),28 (23.9%),0.072C,28 (25.5%),18 (34.0%),10 (17.5%),0.126C,22 (25.9%),15 (32.6%),7 (17.9%),0.265C
,13-20,235 (54.7%),106 (48.8%),129 (60.6%),,125 (53.2%),54 (45.8%),71 (60.7%),,61 (55.5%),27 (50.9%),34 (59.6%),,49 (57.6%),25 (54.3%),24 (61.5%),
,21-28,78 (18.1%),39 (18.0%),39 (18.3%),,43 (18.3%),25 (21.2%),18 (15.4%),,21 (19.1%),8 (15.1%),13 (22.8%),,14 (16.5%),6 (13.0%),8 (20.5%),
"Mobility, N (%)",None,30 (7.0%),16 (7.4%),14 (6.6%),0.311C,21 (8.9%),9 (7.6%),12 (10.3%),0.736C,5 (4.5%),4 (7.5%),1 (1.8%),0.071C,4 (4.7%),3 (6.5%),1 (2.6%),0.196C
,Mild,109 (25.3%),63 (29.0%),46 (21.6%),,63 (26.8%),35 (29.7%),28 (23.9%),,28 (25.5%),18 (34.0%),10 (17.5%),,18 (21.2%),10 (21.7%),8 (20.5%),
,Moderate,47 (10.9%),23 (10.6%),24 (11.3%),,29 (12.3%),14 (11.9%),15 (12.8%),,14 (12.7%),5 (9.4%),9 (15.8%),,4 (4.7%),4 (8.7%),0 (0.0%),
,Severe,244 (56.7%),115 (53.0%),129 (60.6%),,122 (51.9%),60 (50.8%),62 (53.0%),,63 (57.3%),26 (49.1%),37 (64.9%),,59 (69.4%),29 (63.0%),30 (76.9%),
"Cognitive Status, N (%)",Cognitively intact,133 (30.9%),76 (35.0%),57 (26.8%),0.217C,64 (27.2%),35 (29.7%),29 (24.8%),0.264C,35 (31.8%),19 (35.8%),16 (28.1%),0.768C,34 (40.0%),22 (47.8%),12 (30.8%),0.452C
,Mildly impaired,81 (18.8%),37 (17.1%),44 (20.7%),,42 (17.9%),17 (14.4%),25 (21.4%),,18 (16.4%),10 (18.9%),8 (14.0%),,21 (24.7%),10 (21.7%),11 (28.2%),
,Moderately impaired,113 (26.3%),58 (26.7%),55 (25.8%),,66 (28.1%),37 (31.4%),29 (24.8%),,27 (24.5%),12 (22.6%),15 (26.3%),,20 (23.5%),9 (19.6%),11 (28.2%),
,Severely impaired,90 (20.9%),40 (18.4%),50 (23.5%),,53 (22.6%),23 (19.5%),30 (25.6%),,27 (24.5%),12 (22.6%),15 (26.3%),,10 (11.8%),5 (10.9%),5 (12.8%),
"Medical conditions, N (%)",,,,,,,,,,,,,,,,,
,Arthritis,198 (46.0%),110 (50.7%),88 (41.3%),0.064C,103 (43.8%),56 (47.5%),47 (40.2%),0.320C,49 (44.5%),29 (54.7%),20 (35.1%),0.060C,46 (54.1%),25 (54.3%),21 (53.8%),1.000C
,Stroke,87 (20.2%),49 (22.6%),38 (17.8%),0.270C,49 (20.9%),30 (25.4%),19 (16.2%),0.116C,27 (24.5%),13 (24.5%),14 (24.6%),1.000C,11 (12.9%),6 (13.0%),5 (12.8%),1.000C
,Cancer,47 (10.9%),15 (6.9%),32 (15.0%),0.011C,26 (11.1%),5 (4.2%),21 (17.9%),0.002C,9 (8.2%),6 (11.3%),3 (5.3%),0.309E,12 (14.1%),4 (8.7%),8 (20.5%),0.213C
,COPD,167 (38.8%),73 (33.6%),94 (44.1%),0.033C,78 (33.2%),34 (28.8%),44 (37.6%),0.196C,49 (44.5%),20 (37.7%),29 (50.9%),0.233C,40 (47.1%),19 (41.3%),21 (53.8%),0.349C
,Diabetes,249 (57.9%),127 (58.5%),122 (57.3%),0.869C,120 (51.1%),61 (51.7%),59 (50.4%),0.949C,63 (57.3%),30 (56.6%),33 (57.9%),1.000C,66 (77.6%),36 (78.3%),30 (76.9%),1.000C
,Dementia,231 (53.7%),105 (48.4%),126 (59.2%),0.032C,135 (57.4%),62 (52.5%),73 (62.4%),0.163C,61 (55.5%),27 (50.9%),34 (59.6%),0.468C,35 (41.2%),16 (34.8%),19 (48.7%),0.280C
,Depression,296 (68.8%),146 (67.3%),150 (70.4%),0.549C,157 (66.8%),79 (66.9%),78 (66.7%),1.000C,81 (73.6%),38 (71.7%),43 (75.4%),0.819C,58 (68.2%),29 (63.0%),29 (74.4%),0.377C
,Heart Failure,261 (60.7%),113 (52.1%),148 (69.5%),<0.001C,127 (54.0%),50 (42.4%),77 (65.8%),<0.001C,72 (65.5%),31 (58.5%),41 (71.9%),0.200C,62 (72.9%),32 (69.6%),30 (76.9%),0.606C
,Hypertension,395 (91.9%),196 (90.3%),199 (93.4%),0.317C,213 (90.6%),105 (89.0%),108 (92.3%),0.515C,99 (90.0%),46 (86.8%),53 (93.0%),0.445C,83 (97.6%),45 (97.8%),38 (97.4%),1.000E
,End-Stage Renal Disease,123 (28.6%),46 (21.2%),77 (36.2%),<0.001C,56 (23.8%),19 (16.1%),37 (31.6%),0.008C,33 (30.0%),9 (17.0%),24 (42.1%),0.008C,34 (40.0%),18 (39.1%),16 (41.0%),1.000C
,Fall History,428 (99.5%),217 (100.0%),211 (99.1%),0.245E,233 (99.1%),118 (100.0%),115 (98.3%),0.247E,110 (100.0%),53 (100.0%),57 (100.0%),Not available,85 (100.0%),46 (100.0%),39 (100.0%),Not available
,Hearing Impairment,52 (12.1%),22 (10.1%),30 (14.1%),0.268C,33 (14.0%),15 (12.7%),18 (15.4%),0.688C,15 (13.6%),5 (9.4%),10 (17.5%),0.337C,4 (4.7%),2 (4.3%),2 (5.1%),1.000E
,Bowel Incontinence,378 (87.9%),184 (84.8%),194 (91.1%),0.064C,203 (86.4%),101 (85.6%),102 (87.2%),0.869C,97 (88.2%),42 (79.2%),55 (96.5%),0.012C,78 (91.8%),41 (89.1%),37 (94.9%),0.445E
